original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
medical_specialty,medical_specialty_Radiologist,-0.11926031126108301,0.11926031126108301,0.11617180468518673,-0.2680444998815925,0.029523877359426506,0.00017037128161700998,0.5015395575222323,0.693029088186444
medical_specialty,medical_specialty_Radiology,-8.97166484880003e-05,8.97166484880003e-05,0.9997506792864745,-0.5628299681726685,0.5626505348756925,3.244905590327196e-05,0.5002077383993229,0.6931246885883341
medical_specialty,medical_specialty_Resident,-0.0002457855918651672,0.0002457855918651672,0.999799998757706,-1.9220849078482771,1.9215933366645468,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Rheumatology,1.653029077020454e-05,1.653029077020454e-05,0.9999720457032621,-0.9247353627537447,0.9247684233352851,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_SportsMedicine,-3.649468116807551e-05,3.649468116807551e-05,0.9999890959597046,-5.234057162111818,5.233984172749483,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Surgeon,-0.00033274216201979994,0.00033274216201979994,0.9993260306466054,-0.7724103211332356,0.7717448368091959,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Surgery-Cardiovascular,-0.056177943349506605,0.056177943349506605,0.838732858184899,-0.5972106471001319,0.4848547604011187,7.106836225578839e-05,0.500269574783741,0.6930979197250207
medical_specialty,medical_specialty_Surgery-Cardiovascular/Thoracic,-0.4686979601255469,0.4686979601255469,1.12429272713932e-05,-0.6778588085102646,-0.2595371117408292,0.0003705935815928596,0.5016309767514796,0.6928903046637306
medical_specialty,medical_specialty_Surgery-Colon&Rectal,0.00013785265233122001,0.00013785265233122001,0.9998392743904083,-1.3411541929656994,1.3414298982703619,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Surgery-General,-0.0176166459121898,0.0176166459121898,0.7040789272206931,-0.10852384596913132,0.07329055414475173,0.0,0.5,0.6931471805599453
